Date,Open,High,Low,Close,Adj Close,Volume
2021-09-20,139.000198,142.903503,137.052994,142.632996,142.632996,107338000
2021-09-27,141.585495,142.500000,133.000000,136.462494,136.462494,151054000
2021-10-04,135.699493,140.317001,131.166504,140.056000,140.056000,112594000
2021-10-11,139.800003,142.199997,136.250000,141.675003,141.675003,98176000
2021-10-18,141.213501,144.247757,137.170502,138.625000,138.625000,94852000
2021-10-25,138.810501,149.117996,136.748505,148.270493,148.270493,162562000
2021-11-01,148.164993,150.570755,143.579498,149.240997,149.240997,116416000
2021-11-08,150.000000,151.034500,145.324997,149.645493,149.645493,87484000
2021-11-15,150.000000,151.850006,148.350006,149.952499,149.952499,95216000
2021-11-22,150.141754,150.744507,142.485504,142.806000,142.806000,76190000
2021-11-29,144.298492,146.862000,140.981995,142.520493,142.520493,144280000
2021-12-06,143.574005,149.604996,140.647003,148.675003,148.675003,104634000
2021-12-13,148.444000,148.562500,141.787994,142.802994,142.802994,146966000
2021-12-20,140.679596,148.572601,140.250000,147.142502,147.142502,72068000
2021-12-27,147.463501,148.426498,144.677505,144.679504,144.679504,79178000
2022-01-03,144.475494,146.610001,135.789001,137.004501,137.004501,146242000
2022-01-10,135.098999,143.185501,133.140503,139.786499,139.786499,131632000
2022-01-17,136.600006,138.399506,130.001007,130.091995,130.091995,112028000
2022-01-24,126.027496,133.370499,124.641953,133.289505,133.289505,191552000
2022-01-31,134.197998,152.100006,132.274002,143.016006,143.016006,281164000
2022-02-07,143.709000,143.846497,133.288498,134.130005,134.130005,179320000
2022-02-14,133.365494,137.945999,130.307053,130.467499,130.467499,141806000
2022-02-21,129.985001,135.389008,124.764503,134.519501,134.519501,134740000
2022-02-28,133.284500,136.713806,130.408493,132.121994,132.121994,122508000
2022-03-07,131.904007,134.199997,125.860748,130.475494,130.475494,157552000
2022-03-14,130.572998,136.913498,126.413002,136.801498,136.801498,162498000
2022-03-21,136.847504,141.959503,134.611496,141.521500,141.521500,121524000
2022-03-28,140.684494,144.162506,138.796997,140.699997,140.699997,126494000
2022-04-04,140.824493,144.043747,133.752502,134.010498,134.010498,97788000
2022-04-11,132.899994,132.939194,127.111504,127.252998,127.252998,90218000
2022-04-18,127.410004,131.923492,119.140503,119.613998,119.613998,136816000
2022-04-25,119.429497,123.278000,113.124252,114.966499,114.966499,216638000
2022-05-02,113.906502,123.142998,113.399498,115.660004,115.660004,163128000
2022-05-09,113.303497,118.084999,110.113503,116.515503,116.515503,173382000
2022-05-16,115.384003,117.227501,106.373001,109.313004,109.313004,139618000
2022-05-23,110.103996,112.867996,102.208000,112.799004,112.799004,190056000
2022-05-30,113.079002,117.898003,112.572502,114.564003,114.564003,132456000
2022-06-06,116.742500,119.398499,110.861000,111.427498,111.427498,127210000
2022-06-13,107.445999,112.063004,105.628548,107.865501,107.865501,174258000
2022-06-20,109.702003,118.637497,109.293503,118.538002,118.538002,126764000
2022-06-27,118.934998,119.250000,107.105003,109.081001,109.081001,148774000
2022-07-04,107.514503,120.434998,106.249496,120.168503,120.168503,126516000
2022-07-11,118.650002,118.794502,109.325500,112.766998,112.766998,157342000
2022-07-18,113.440002,116.330002,107.599998,108.360001,108.360001,162849500
2022-07-25,108.879997,116.900002,104.760002,116.639999,116.639999,161031100
2022-08-01,115.529999,119.500000,114.260002,118.220001,118.220001,97443400
2022-08-08,119.120003,122.650002,116.559998,122.650002,122.650002,85775100
2022-08-15,122.209999,123.260002,117.669998,118.120003,118.120003,84579400
2022-08-22,116.099998,117.779999,111.220001,111.300003,111.300003,96331300
2022-08-29,110.779999,111.959999,108.129997,108.680000,108.680000,110218300
2022-09-05,108.135002,112.000000,106.510002,111.779999,111.779999,86945900
2022-09-12,111.989998,112.639999,101.855003,103.629997,103.629997,165877500
2022-09-19,102.540001,104.019997,102.370003,103.849998,103.849998,19721000
2022-09-20,102.879997,103.150002,101.120003,101.550003,101.550003,13941102
